t,U,j
0.0,-0.7931312060987952,0.0008998106605535839
4.226436354359597,-0.7508668425551992,0.0008238681637871537
8.233290317284947,-0.7107983029259457,0.0008238681637871537
13.23329031728495,-0.6607983029259457,0.0008274349403137285
14.90662781386285,-0.6440649279601667,0.0008618370084703742
18.24328956640848,-0.6106983104347103,0.0010529167336697754
22.36137584817559,-0.5695174476170393,0.001090885578352996
26.031706574273137,-0.5328141403560638,0.0010529167336697754
28.033706424097815,-0.512794141857817,0.001167438614911127
32.707898334126995,-0.4660522227575252,0.0012060228067860023
37.707898334126995,-0.41605222275752524,0.0014440893564898801
38.38022891004922,-0.409328916998303,0.0014736507611435813
43.38022891004922,-0.359328916998303,0.0016312569039184125
44.052559485971486,-0.3526056112390803,0.0016647304863429825
47.50330782063479,-0.3180981278924473,0.0019323584407005612
51.06242021937724,-0.2825070039050228,0.0019323584407005612
55.06641991902663,-0.24246700690852885,0.0017406681757094588
59.74061182905581,-0.19572508780823705,0.0017792523675843341
64.74061182905581,-0.14572508780823704,0.0017966919448835256
66.30271700679198,-0.1301040360308754,0.0018172212122675546
71.0881272441762,-0.08224993365703304,0.0019703272853837817
76.08812724417622,-0.03224993365703304,0.0021556261620063696
76.20435219183639,-0.031087684180431285,0.002161407010583183
80.43080253768262,0.011176819278031047,0.002429034964940762
85.43080253768261,0.06117681927803103,0.0027574691425296333
87.44066327108837,0.08127542661208853,0.002925711489180998
92.44066327108837,0.13127542661208855,0.0034827702364466813
97.0086154910942,0.1769549488121469,0.004072785957969281
102.0086154910942,0.2269549488121469,0.004766740376247322
102.6809600585031,0.23367839448623595,0.0048750640886502696
106.68780002994183,0.2737467942006231,0.005639983914439704
111.35913767669506,0.32046017066815535,0.006327740163879341
115.25478730375194,0.3594166669387242,0.006748474191353147
118.81389970249438,0.3950077909261487,0.007016106953110679
120.37101225141211,0.41057891641532596,0.007092044642477155
123.2628006945374,0.43949680084657894,0.0067864478434363565
125.70968784526912,0.4639656723538961,0.006098691593996719
127.93697861307996,0.4862385800320044,0.005601404529964818
132.38586561363635,0.5307274500375683,0.00537235596008216
137.38586561363635,0.5807274500375683,0.005165102925531179
138.8367524640174,0.5952363185413789,0.005142692043007919
140.285500948856,0.6097238033897647,0.005181281042282713
140.84162056860472,0.615284999587252,0.0050667543536414075
141.06407121480152,0.6130604931252841,-0.00024665326844310444
141.2865218609983,0.6108359866633162,-0.0028457884652688748
141.62017684306355,0.6074994368426636,-0.0036107082910583088
144.18113658442627,0.5818898394290364,-0.004336433385181166
147.74024898316873,0.5462987154416119,-0.004986215982537665
150.7432557536491,0.5162686477368084,-0.005827688844885195
152.7452695949604,0.49624850932369524,-0.006553413939008088
156.75210956639916,0.45618010960930766,-0.0073948868013556535
159.5326656906827,0.42837454836647204,-0.007623935371238311
162.86934143471504,0.3950077909261487,-0.007432855646038909
164.64889063834298,0.3772122988898694,-0.0073183337647975575
167.09579178056129,0.35274328746768635,-0.007165227691681331
170.21285715018607,0.32157263377143863,-0.007356302609480779
173.43830057537662,0.2893181995195331,-0.007279749572922647
174.88419479693928,0.27485925730390637,-0.007470829298122012
176.88619464676395,0.2548392588056596,-0.00762393537123824
178.88819449658868,0.2348192603074124,-0.007432855646038874
181.56038655679313,0.2080973397053678,-0.006897599737323681
184.1184920348799,0.18251628492450012,-0.006515440286924879
188.67861135427802,0.13691509173051886,-0.005483507853969449
190.68061120410275,0.11689509323227165,-0.005177295707736995
193.90890889256926,0.08461211634760657,-0.0046806143760967705
197.91290859221866,0.044572119351112605,-0.004145353659981659
199.2475704949396,0.031225500323903255,-0.003916305090099001
204.24757049493957,-0.018774499676096755,-0.003689894819098768
205.47887495388645,-0.03108754426556537,-0.003648677135741423
210.47887495388645,-0.08108754426556537,-0.0034218796830326192
211.81854347691245,-0.09448422949582547,-0.003381049181383844
216.81854347691245,-0.14448422949582546,-0.003354439778371864
219.49572816593536,-0.17125607638605445,-0.0033430755293006697
224.49572816593533,-0.22125607638605443,-0.003233046482394928
226.61395296342025,-0.2424383243609034,-0.0031899694561844426
230.50958859899055,-0.28139468071660634,-0.0031520006115012223
235.50958859899055,-0.3313946807166063,-0.003119011906399646
236.96047544937167,-0.34590354922041744,-0.003113416419626347
241.9604754493717,-0.3959035492204175,-0.0031103335126339156
243.19177990831858,-0.40821659380988606,-0.003113416419626347
248.19177990831855,-0.45821659380988605,-0.0031805051810771985
249.3089977851478,-0.46938877257817824,-0.0031520006115012223
252.20077223678643,-0.49830651709456486,-0.0028843726571436434
256.5412951732637,-0.5417117464593373,-0.0028843726571436434
259.4330696249024,-0.5706294909757244,-0.0028843726571436434
263.8819706169454,-0.6151185008961546,-0.0028843726571436434
268.8819706169454,-0.6651185008961547,-0.0028656390019087268
273.8819706169454,-0.7151185008961546,-0.0028462659250996824
274.1190656858325,-0.7174894515850254,-0.002845788465268768
279.1190656858324,-0.7674894515850255,-0.0028450117054009943
281.1260721559623,-0.7875595162863236,-0.002845788465268768
282.1299193484072,-0.7975979882107733,-0.002845788465268768
282.57659755960503,-0.7931312060987952,0.0008998106605535839
