t,U,j
0.0,-1.2956921314405392,-0.025627652690069738
0.03886544876448905,-1.2937488590023147,-0.012272583077001258
0.0777308975289781,-1.2956921314405392,-0.0005894004329394776
0.3109211958912672,-1.2840326165224247,0.005255532863504726
0.9327611934491609,-1.25294061664453,0.014022945661918805
1.4768702934780675,-1.2257351616430847,0.022790358460332883
1.9831099421974274,-1.2004231792071167,0.03197238174596368
2.3717596413930275,-1.1809906942473367,0.045327451359032093
2.682680837284299,-1.1654446344527731,0.05576006460687658
3.1101959852443883,-1.1440688770547687,0.06995108541669694
3.6154372422841563,-1.1188068142027803,0.08331284926159022
3.9263560439507783,-1.1032608741194492,0.08915778512878401
4.23727723984205,-1.0877148143248856,0.09458140856468755
4.859114843175294,-1.0566229341582234,0.09583197796090488
5.208901487831055,-1.0391336019254354,0.09249488025946963
5.908469988693277,-1.0041551768823243,0.085813998337023
6.570169038245948,-0.9710702244046907,0.07788254958910862
7.114280532499508,-0.9438646496920127,0.07370950583242056
7.736118135832752,-0.9127727695253505,0.07078703147194979
8.085904780488512,-0.8952834372925624,0.07037240813098532
8.513417534223953,-0.8739077996057905,0.07370950583242056
8.902064839194903,-0.8544754343572429,0.07871849564436147
9.096392083017356,-0.8447590721661202,0.08414879531684306
9.329582381379646,-0.8330995572480058,0.09708256021086989
9.407310884683975,-0.8292131320827894,0.10960837800051032
9.523904836752797,-0.8233834344793483,0.12087692444985994
9.718229686350597,-0.8136671919994583,0.10960837800051032
10.068016331006357,-0.7961778597666702,0.09541735461994037
10.301204235144,-0.784518464559788,0.08331284926159019
10.61311903426556,-0.76892272460371,0.07120835418623817
11.040636576450304,-0.7475468474944729,0.05951848245185062
11.62360873101905,-0.7183982397660356,0.04574208755374425
12.051123878979139,-0.6970224823680311,0.03447354110439466
12.634096033547886,-0.6678738746395938,0.022790358460332883
13.100476630272464,-0.6445548448033649,0.01778135579464422
13.800045131134686,-0.6095764197602538,0.014022945661918805
14.800045131134686,-0.5595764197602537,0.012497037798235182
15.122449627009734,-0.5434561949665013,0.012351058692912175
16.122449627009736,-0.49345619496650134,0.012747872557339154
16.249533275832047,-0.48710201252538576,0.012772378836451033
17.249533275832047,-0.4371020125253858,0.012479268934926055
17.687535726320974,-0.4152018900009393,0.012351058692912175
18.687535726320974,-0.36520189000093933,0.012411858531366558
19.204265071793827,-0.33936542272729664,0.012351058692912175
20.204265071793827,-0.28936542272729665,0.011590846869577905
20.409077223920473,-0.27912481512096443,0.011515128062156635
21.409077223920473,-0.22912481512096441,0.011913147110097529
21.497295423978294,-0.22471390511807332,0.011936422498199982
22.31346027113398,-0.18390566276028908,0.011936422498199982
22.70210997032958,-0.16447317780050907,0.012351058692912175
22.935300268691872,-0.1528136628823944,0.014858902000169856
23.09076206374983,-0.14504057312949659,0.015694832630925432
23.323949967887472,-0.1333811779226144,0.014858902000169856
23.51927081494021,-0.1236151355699775,0.01360830946720661
23.98565141166479,-0.10029610573374859,0.016945425163888642
24.452027219940067,-0.07697731531998464,0.021954402122081832
24.685217518302363,-0.06531780040186996,0.029464538438706
24.918410210889295,-0.05365816577252325,0.03656006426811345
24.918410210889295,-0.05365816577252325,0.03405890490968247
24.95727565965379,-0.05171489333429857,0.022790358460332883
25.03500655718277,-0.05560143821074748,0.009849899334481193
25.073872005947262,-0.05754471064897215,-0.0043411009093427926
25.229333801005218,-0.06531780040186996,-0.010186059913282506
25.384793201838534,-0.07309077044353574,-0.013523149902469101
25.812308349798617,-0.09446652784153997,-0.014359080533224641
26.356415055602874,-0.12167186313175282,-0.01269390322054015
27.173575900213507,-0.1625299053622844,-0.010600696107994736
28.145197753977858,-0.21111099805050193,-0.010600696107994736
29.145197753977858,-0.2611109980505019,-0.009651846603228492
29.54433714992695,-0.2810679678479566,-0.009350103575031455
30.54433714992695,-0.3310679678479566,-0.009286013777035916
30.78801475081808,-0.34325184789251306,-0.009350103575031455
31.78801475081808,-0.39325184789251305,-0.009839911971588077
32.18815014422211,-0.41325861756271465,-0.010186059913282506
33.188150144222114,-0.46325861756271464,-0.011615747178947122
33.665018043475534,-0.48710201252538576,-0.012272583077001329
34.665018043475534,-0.5371020125253858,-0.01297083819422877
35.103020493964465,-0.5590021350498324,-0.013523149902469172
36.103020493964465,-0.6090021350498325,-0.016002700012447253
36.308831037770695,-0.6192926622401438,-0.016866923840482356
36.85293774357495,-0.6464979975303566,-0.02061867573187662
37.51364318989733,-0.6795332698464758,-0.029386062822795225
37.863427440328444,-0.6970224823680313,-0.03731751928295822
38.32980803705303,-0.7203415122042605,-0.0473354989068401
38.75732079078846,-0.7417171498910324,-0.05902536549972858
39.30143228504202,-0.7689227246037103,-0.06987261751303478
39.45689168587533,-0.7766956946453756,-0.07488159447122797
39.84653498830122,-0.7961778597666702,-0.0840636177568588
40.07972768088816,-0.8078374943960174,-0.09616814625195495
40.19632163295698,-0.8136671919994583,-0.11036585615210108
40.35178103379029,-0.8214401620411236,-0.12247035893970172
40.4683749858591,-0.8272698596445645,-0.1308164258870815
40.4683749858591,-0.8272698596445645,-0.12455685639592502
40.62383438669241,-0.8350428296862298,-0.10409957700462251
40.895890133819194,-0.8486456170425689,-0.08824334803312305
41.2456743842503,-0.8661348295641245,-0.0811478479112111
41.556593185916924,-0.8816807696474556,-0.07613884524552247
41.86751198758355,-0.8972267097307867,-0.07279507130750922
42.29502713554364,-0.9186024671287911,-0.07321639145104804
42.839136235572546,-0.9458079221302365,-0.07738943777848568
43.42211078436595,-0.9749566495699067,-0.08281305093139103
44.044946779378776,-1.0060984493205483,-0.08824334803312305
44.62791893394753,-1.0352470570489856,-0.09366696118602846
44.9388401298388,-1.0507931168435491,-0.09658944068799834
45.3274898290344,-1.0702256018033292,-0.09784003322096155
45.79386803153433,-1.0935445119283256,-0.09658944068799834
46.1047892274256,-1.1090905717228892,-0.09074453309904953
46.61003287869002,-1.1343527542861103,-0.07989059713691667
46.95981712912113,-1.1518419668076658,-0.0673714581546038
47.50392622915003,-1.1790474218091112,-0.049007385875846694
48.16462928124776,-1.2120825744139978,-0.034816385632022745
48.476546474593974,-1.2276784340813083,-0.02771417585378863
48.82633072502509,-1.2451676466028638,-0.024377060157106528
49.292711321749664,-1.2684866764390927,-0.022711882844422108
49.5647646746518,-1.2820893440841994,-0.02396244966988988
49.836820421778576,-1.2956921314405385,-0.025627652690069808
49.83682042177859,-1.2956921314405392,-0.025627652690069738
