t,U,j
0.0,-1.2976352841675312,0.004842387703530804
0.8938933504600177,-1.2529406166445303,0.01318845465091055
1.6333232975416667,-1.2159691192904478,0.020698590967534757
2.2162978463350713,-1.1868203918507776,0.03030196010419985
2.682676048835,-1.1635014817257812,0.04199182669708833
3.149056645559578,-1.1401824518895523,0.05283907871039457
3.6543002968239957,-1.1149202693263314,0.06494357378574658
4.159546342313067,-1.0896579670518778,0.07538286327016909
4.548193647284018,-1.0702256018033303,0.0799705406508198
5.014571849783946,-1.0469066916783338,0.08122779913736287
5.480952446508525,-1.023587661842105,0.08164243276132553
6.220382393590174,-0.9866161644880225,0.07746939157538699
6.609032092785774,-0.9671836795282425,0.07371097115966337
7.2697375391081565,-0.9341484072121233,0.07162445570819319
8.047036937499357,-0.8952834372925633,0.06995256359768749
8.74660304413693,-0.8603051319606847,0.07203907904915767
9.096389688792689,-0.8428157997278967,0.07830533763063983
9.407308490459311,-0.8272698596445656,0.08706604591423091
9.718227292125933,-0.8117239195612345,0.0979199715933656
9.87368669295924,-0.8039509495195691,0.1083525848412101
10.029148488017201,-0.7961778597666711,0.1187918743256326
10.029148488017201,-0.7961778597666711,0.12212897202706785
10.145742440086018,-0.7903481621632302,0.10835258484121013
10.184607888850508,-0.7884048897250058,0.10417954108452204
10.301201840919324,-0.7825751921215649,0.09458287389193039
10.496522687972062,-0.772809149768928,0.0841435844075079
10.846309332627824,-0.75531981753614,0.07120981951348103
11.468146935961062,-0.724227937369478,0.05743343232762335
12.167715436823284,-0.6892495123263669,0.040734550215298454
12.595228190558725,-0.6678738746395949,0.030301960104199922
13.450258486478907,-0.6251223598435858,0.019448049849562495
14.188692436105613,-0.5882006623622504,0.016110934152880462
15.161312681549552,-0.5395696500900535,0.014860367327412654
16.161312681549553,-0.48956965009005354,0.015265233159576546
16.288396330371867,-0.48321546764893775,0.01527497781462941
17.288396330371867,-0.4332154676489377,0.014782652892462403
17.726396386636146,-0.4113154648357238,0.014439047183873833
18.726396386636146,-0.36131546483572374,0.013362067212151186
18.970076381751923,-0.34913146507993487,0.01318845465091055
19.787237226362556,-0.3082734228494033,0.01318845465091055
20.787237226362556,-0.2582734228494033,0.011685308302808924
21.380699077684792,-0.22860033028329152,0.010687320999975044
22.080267578547012,-0.19362190524018041,0.009851390369219466
22.66324212734042,-0.16447317780050996,0.010266026563931696
23.20735122736933,-0.13726772279906463,0.010266026563931696
23.402669680197416,-0.12750180015766022,0.01235252402015501
23.674730215773494,-0.11389877337885634,0.01360309084562278
23.869052671146644,-0.10418265061019882,0.01235252402015501
24.063375126519787,-0.09446652784154175,0.011101957194687203
24.335428479421914,-0.08086386019643532,0.011516567681903957
24.801811470371142,-0.05754471064897393,0.01611093415288039
24.918407816664622,-0.051714893334299905,0.01903341365485023
24.957273265429116,-0.05365816577252458,0.008179477692717327
24.957273265429116,-0.05365816577252458,-0.0022531381258767526
25.112735060487083,-0.061431255525422834,-0.008934002053076569
25.345925358849374,-0.07309077044353751,-0.013107048380514144
25.69570960928048,-0.09057998296509284,-0.013521684575226374
26.395280504367353,-0.12555852771943643,-0.012692412185801985
26.707195303488913,-0.14115426767551442,-0.012692412185801985
27.25130440351782,-0.16835972267695976,-0.013521684575226374
27.756548054782243,-0.19362190524018086,-0.011856481555046443
28.456116555644464,-0.22860033028329196,-0.01018456887854434
29.427740803633466,-0.277181542682742,-0.01018456887854434
30.321634154093488,-0.3218762102057431,-0.01018456887854434
31.321634154093488,-0.37187621020574313,-0.010327539647989771
31.838361105341683,-0.39771255776815284,-0.010605889022083162
32.7711199045662,-0.4443504977293786,-0.011856481555046443
33.7711199045662,-0.4943504977293786,-0.01436492077823922
34.053662954221814,-0.5084776502121593,-0.015193571544233038
35.053662954221814,-0.5584776502121593,-0.0185082221461935
35.181744994723715,-0.5648817522372545,-0.01895198167695838
35.881311101361284,-0.5998600575691329,-0.021453141035389436
36.619747445212646,-0.6367818747617011,-0.027719394475372496
37.319315946074866,-0.671760299804812,-0.03940257711943424
37.980018998172596,-0.7047954524096987,-0.054850853845048134
38.67958749903482,-0.7397738774528098,-0.06987115218579198
39.18483354452389,-0.7650361797272631,-0.08656999573687366
39.69107319324325,-0.7903481621632311,-0.10284754485191186
39.72993864200774,-0.7922914346014556,-0.11703857080323139
39.84653498830121,-0.7981212519161291,-0.12705655042711322
40.001994389134516,-0.8058942219577945,-0.12038234474124458
40.079722892438845,-0.8097806471230109,-0.10910711434306833
40.42950714286995,-0.8272698596445665,-0.09157899840256235
40.93475318835901,-0.8525321619190198,-0.0819756549733927
41.32340049332996,-0.8719645271675673,-0.07822390308199843
42.022971388416835,-0.9069430719219109,-0.07655201611299177
42.800268392583384,-0.9458079221302385,-0.07947449561496164
43.73302719180789,-0.9924458620914638,-0.08406886208593811
44.472457138889546,-1.0294173594455465,-0.0874059263676292
45.249756537280746,-1.0682823293651065,-0.0874059263676292
45.59954078771186,-1.085771541886662,-0.08364754194239922
46.065921384436436,-1.109090571722891,-0.07571605977474072
46.843220782827636,-1.147955541642451,-0.05526549003976037
47.34846443409205,-1.1732177242056718,-0.04232503091390868
47.9703020374253,-1.204309604372334,-0.03105648446455909
48.43767863160481,-1.2276784340813098,-0.024796914973402622
49.02065318039822,-1.25682716152098,-0.018530661533419562
49.83681563332926,-1.297635284167532,-0.017701414851490682
49.83681563332926,-1.297635284167532,-0.008934002053076604
49.87567868786909,-1.29569213144054,-0.0014171817876257719
49.91454174240893,-1.297635284167532,0.004842387703530697
49.91454174240894,-1.2976352841675312,0.004842387703530804
